,city,lat,lng,country,Temperature (F),Cloudiness %,Wind Speed (mph),Humidity %
147,Turku,60.45386679999999,22.25496171,Finland,0,0,1.5,87
148,Szeged,46.25039268,20.15002559,Hungary,6,75,1.5,70
149,Kalemie,-5.933295472,29.20001583,Congo (Kinshasa),26.14,8,1.89,93
150,Bayamo,20.37954287,-76.64329106,Cuba,29,40,4.1,39
151,Arica,-18.50002195,-70.28998377,Chile,26.07,0,5.7,53
152,Fort Collins,40.56068829,-105.0588693,United States of America,12.51,1,2.1,48
153,Turpan,42.93537539,89.16503780000001,China,4.41,0,0.69,61
154,Severodvinsk,64.57002382,39.83001298,Russia,-14,0,3,92
155,Laayoune,27.14998232,-13.20000594,Morocco,20,40,11.3,56
157,Biratnagar,26.48374392,87.28334387,Nepal,22.04,0,3.01,34
158,Pinrang,-3.785726299,119.65222079999998,Indonesia,24.71,48,2.96,100
159,Tema,5.640365009,0.010014606,Ghana,29,20,4.1,74
160,Arar,30.99000633,41.02068966,Saudi Arabia,22,88,5.1,49
161,Clermont-Ferrand,45.77998212,3.0800080960000003,France,12,0,2.6,46
162,Nancy,48.68368085,6.200024372000001,France,9.34,0,1.5,57
164,Valletta,35.89973248,14.51471065,Malta,14,20,5.1,67
165,Proddatur,14.7504291,78.57002559,India,26.51,8,2.14,56
166,Kabwe,-14.44001137,28.44998409,Zambia,19.81,48,2.51,91
167,Salem,42.5224989,-70.88309175,United States of America,5.23,90,1.5,100
168,Erfurt,50.97005292,11.02996212,Germany,8,0,1.14,82
169,Bhiwani,28.81001019,76.12500688,India,20.39,0,2.49,49
170,Dhamar,14.5574693,44.3874609,Yemen,12.04,0,2.91,13
171,Klaipeda,55.72040896,21.11994055,Lithuania,3,75,3.1,74
172,Portoviejo,-1.060001201,-80.45998316,Ecuador,29,40,5.1,70
173,Curepipe,-20.31619017,57.51663367,Mauritius,27,75,3.1,74
175,Jizzax,40.10038047,67.83000932,Uzbekistan,19.79,80,4.36,39
176,Youngstown,41.09969932,-80.64973902,United States of America,1.49,1,6.2,27
